movie_ix ,category
0,9
1,3
2,4
3,4
4,4
5,2
6,0
7,4
8,6
9,2
10,9
11,5
12,4
13,5
14,0
15,9
16,4
17,3
18,3
19,3
20,6
21,6
22,3
23,1
24,0
25,6
26,3
27,3
28,6
29,5
30,3
31,9
32,6
33,9
34,4
35,0
36,0
37,3
38,6
39,7
40,3
41,3
42,3
43,5
44,6
45,0
46,6
47,8
48,6
49,2
50,0
51,5
52,6
53,6
54,7
55,4
56,6
57,2
58,3
59,4
60,6
61,9
62,4
63,0
64,8
65,6
66,6
67,9
68,9
69,9
70,9
71,0
72,0
73,9
74,0
75,0
76,0
77,9
78,4
79,6
80,6
81,9
82,4
83,4
84,9
85,9
86,9
87,9
88,6
89,9
90,4
91,8
92,5
93,9
94,9
95,1
96,2
97,4
98,5
99,3
100,3
101,3
102,8
103,0
104,3
105,4
106,7
107,2
108,0
109,5
110,5
111,2
112,2
113,2
114,0
115,9
116,9
117,3
118,9
119,3
120,6
121,4
122,5
123,4
124,5
125,2
126,3
127,6
128,6
129,2
130,3
131,6
132,5
133,8
134,9
135,1
136,6
137,5
138,6
139,2
140,6
141,9
142,9
143,1
144,4
145,3
146,8
147,4
148,7
149,3
150,0
151,8
152,7
153,6
154,5
155,8
156,5
157,7
158,5
159,5
160,2
161,2
162,4
163,2
164,0
165,4
166,9
167,4
168,4
169,3
170,3
171,3
172,9
173,5
174,1
175,8
176,6
177,8
178,0
179,9
180,9
181,9
182,6
183,2
184,4
185,6
186,5
187,9
188,6
189,9
190,9
191,8
192,4
193,5
194,9
195,5
196,6
197,0
198,9
199,6
200,9
201,4
202,6
203,4
204,0
205,8
206,1
207,3
208,5
209,1
210,4
211,2
212,7
213,5
214,6
215,4
216,8
217,3
218,9
219,4
220,5
221,3
222,9
223,8
224,0
225,8
226,9
227,1
228,9
229,2
230,5
231,6
232,6
233,4
234,0
235,4
236,2
237,4
238,9
239,2
240,4
241,4
242,4
243,4
244,4
245,4
246,4
247,4
248,4
249,9
250,4
251,4
252,4
253,4
254,4
255,1
256,9
257,9
258,5
259,3
260,6
261,2
262,6
263,7
264,6
265,3
266,6
267,0
268,6
269,6
270,2
271,6
272,9
273,3
274,1
275,1
276,6
277,4
278,1
279,1
280,1
281,1
282,1
283,1
284,6
285,1
286,1
287,7
288,1
289,1
290,3
291,0
292,9
293,8
294,6
295,6
296,2
297,0
298,1
299,0
300,8
301,0
302,2
303,0
304,3
305,0
306,0
307,6
308,4
309,6
310,6
311,6
312,2
313,6
314,3
315,0
316,2
317,0
318,8
319,4
320,6
321,3
322,6
323,6
324,4
325,6
326,2
327,0
328,3
329,0
330,6
331,6
332,0
333,6
334,6
335,6
336,6
337,0
338,8
339,5
340,5
341,0
342,0
343,0
344,0
345,8
346,0
347,0
348,0
349,6
350,0
351,0
352,0
353,6
354,0
355,4
356,9
357,0
358,0
359,0
360,0
361,8
362,0
363,4
364,3
365,6
366,0
367,6
368,8
369,0
370,2
371,6
372,8
373,3
374,6
375,6
376,6
377,8
378,5
379,6
380,8
381,6
382,0
383,0
384,9
385,5
386,6
387,0
388,0
389,5
390,3
391,4
392,4
393,0
394,5
395,8
396,9
397,6
398,0
399,5
400,8
401,4
402,3
403,2
404,9
405,5
406,8
407,0
408,8
409,0
410,6
411,6
412,5
413,0
414,0
415,9
416,0
417,6
418,0
419,0
420,0
421,6
422,4
423,0
424,3
425,3
426,8
427,8
428,6
429,0
430,6
431,0
432,4
433,4
434,5
435,0
436,9
437,6
438,4
439,0
440,2
441,3
442,0
443,2
444,4
445,4
446,6
447,2
448,2
449,8
450,5
451,8
452,8
453,0
454,8
455,8
456,4
457,6
458,8
459,0
460,0
461,6
462,8
463,6
464,3
465,4
466,6
467,3
468,0
469,6
470,2
471,6
472,3
473,5
474,3
475,6
476,6
477,6
478,9
479,6
480,3
481,3
482,1
483,7
484,6
485,7
486,3
487,3
488,2
489,3
490,4
491,6
492,7
493,3
494,3
495,4
496,8
497,3
498,0
499,2
500,3
501,7
502,3
503,3
504,3
505,7
506,1
507,5
508,7
509,3
510,1
511,3
512,2
513,1
514,3
515,7
516,1
517,7
518,3
519,6
520,5
521,8
522,3
523,3
524,8
525,3
526,2
527,7
