book_ix,book_id,goodreads_book_id,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,image_url,small_image_url
0,258,1232,143034901,9780143034900.0,"Carlos Ruiz Zafón, Lucia Graves",2001.0,La sombra del viento,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",eng,4.24,263685,https://images.gr-assets.com/books/1344545047m/1232.jpg,https://images.gr-assets.com/books/1344545047s/1232.jpg
1,4081,231,312424442,9780312424440.0,Tom Wolfe,2004.0,,I am Charlotte Simmons,en-US,3.4,19293,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2,260,4865,,9780671723650.0,Dale Carnegie,1936.0,How to Win Friends and Influence People,How to Win Friends and Influence People,eng,4.13,282623,https://images.gr-assets.com/books/1442726934m/4865.jpg,https://images.gr-assets.com/books/1442726934s/4865.jpg
3,9296,4887,465016901,9780465016910.0,"Alice  Miller, Ruth Ward",1979.0,Das Drama des begabten Kindes und die Suche nach dem wahren Selbst: eine Um- und Fortschreibung,The Drama of the Gifted Child: The Search for the True Self,en-GB,4.09,9563,https://images.gr-assets.com/books/1339395245m/4887.jpg,https://images.gr-assets.com/books/1339395245s/4887.jpg
4,2318,998,671015206,9780671015210.0,"Thomas J. Stanley, William D. Danko",1995.0,The Millionaire Next Door: The Surprising Secrets of America's Wealthy,The Millionaire Next Door: The Surprising Secrets of Americas Wealthy,eng,4.0,43937,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
5,26,968,307277674,9780307277670.0,Dan Brown,2003.0,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",eng,3.79,1447148,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg
6,315,4894,91883768,9780091883770.0,"Spencer Johnson, Kenneth H. Blanchard",1998.0,Who Moved My Cheese?,Who Moved My Cheese?,eng,3.74,237272,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
7,33,930,739326228,9780739326220.0,Arthur Golden,1997.0,Memoirs of a Geisha,Memoirs of a Geisha,eng,4.08,1300209,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
8,301,4900,1892295490,9781892295490.0,Joseph Conrad,1899.0,Heart of Darkness,Heart of Darkness,eng,3.42,255576,https://images.gr-assets.com/books/1392799983m/4900.jpg,https://images.gr-assets.com/books/1392799983s/4900.jpg
9,2686,4898,1591396190,9781591396190.0,"W. Chan Kim, Renée Mauborgne",2004.0,Blue Ocean Strategy: How to Create Uncontested Market Space and Make Competition Irrelevant,Blue Ocean Strategy: How To Create Uncontested Market Space And Make The Competition Irrelevant,,3.86,30665,https://images.gr-assets.com/books/1416445924m/4898.jpg,https://images.gr-assets.com/books/1416445924s/4898.jpg
10,3753,10,439827604,9780439827610.0,J.K. Rowling,2005.0,"Harry Potter Collection (Harry Potter, #1-6)","Harry Potter Collection (Harry Potter, #1-6)",eng,4.73,24618,https://images.gr-assets.com/books/1328867351m/10.jpg,https://images.gr-assets.com/books/1328867351s/10.jpg
11,8519,401876,385337388,9780385337380.0,"Samuel Shem, John Updike",1978.0,The House of God,The House of God,eng,3.95,8812,https://images.gr-assets.com/books/1320486672m/401876.jpg,https://images.gr-assets.com/books/1320486672s/401876.jpg
12,70,375802,812550706,9780812550700.0,Orson Scott Card,1985.0,Ender's Game,"Ender's Game (Ender's Saga, #1)",eng,4.3,813439,https://images.gr-assets.com/books/1408303130m/375802.jpg,https://images.gr-assets.com/books/1408303130s/375802.jpg
