movie_ix,movieId,category
0,1,4
1,3,4
2,6,2
3,47,2
4,50,2
5,70,0
6,101,2
7,110,4
8,151,4
9,157,0
10,163,4
11,216,0
12,223,2
13,231,4
14,235,2
15,260,2
16,296,2
17,316,4
18,333,4
19,349,4
20,356,4
21,362,4
22,367,0
23,423,1
24,441,2
25,457,4
26,480,4
27,500,4
28,527,2
29,543,4
30,552,4
31,553,4
32,590,4
33,592,3
34,593,2
35,596,2
36,608,2
37,648,4
38,661,3
39,673,1
40,733,4
41,736,4
42,780,4
43,804,0
44,919,2
45,923,2
46,940,2
47,943,3
48,954,2
49,1009,0
50,1023,2
51,1024,3
52,1025,4
53,1029,3
54,1030,1
55,1031,4
56,1032,3
57,1042,0
58,1049,4
59,1060,2
60,1073,2
61,1080,2
62,1089,2
63,1090,2
64,1092,3
65,1097,2
66,1127,4
67,1136,2
68,1196,2
69,1197,2
70,1198,2
71,1206,2
72,1208,2
73,1210,2
74,1213,2
75,1214,2
76,1219,2
77,1220,2
78,1222,2
79,1224,2
80,1226,3
81,1240,2
82,1256,2
83,1258,2
84,1265,2
85,1270,2
86,1275,2
87,1278,2
88,1282,3
89,1291,2
90,1298,2
91,1348,3
92,1377,0
93,1396,3
94,1408,2
95,1445,1
96,1473,0
97,1500,2
98,1517,2
99,1552,1
100,1573,4
101,1580,4
102,1587,3
103,1617,2
104,1620,4
105,1625,4
106,1644,1
107,1676,0
108,1732,2
109,1777,4
110,1793,0
111,1804,0
112,1805,0
113,1920,0
114,1927,2
115,1954,2
116,1967,2
117,2000,4
118,2005,2
119,2012,4
120,2018,3
121,2028,2
122,2033,3
123,2046,4
124,2048,3
125,2054,0
126,2058,4
127,2078,2
128,2090,4
129,2093,0
130,2094,0
131,2096,4
132,2099,3
133,2105,3
134,2115,4
135,2116,0
136,2137,4
137,2139,3
138,2141,4
139,2143,0
140,2161,4
141,2174,3
142,2193,3
143,2253,1
144,2268,4
145,2273,4
146,2291,3
147,2329,2
148,2338,1
149,2353,4
150,2366,2
151,2387,3
152,2389,1
153,2395,2
154,2406,4
155,2414,3
156,2427,3
157,2450,1
158,2459,0
