,movieId,title,genres,imdbId,tmdbId,cover,full-title,year,director,producer,small-cover,plot
0,1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,114709,862.0,https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@.jpg,Toy Story (1995),1995.0,John Lasseter,Pixar Animation Studios,"https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX101_CR0,0,101,150_.jpg","A little boy named Andy loves to be in his room, playing with his toys, especially his doll named ""Woody"". But, what do the toys do when Andy is not with them, they come to life. Woody believes that his life (as a toy) is good. However, he must worry about Andy's family moving, and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear, who does not believe that he is a toy, and quickly becomes Andy's new favorite toy. Woody, who is now consumed with jealousy, tries to get rid of Buzz. Then, both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them, but they will have to pass through a ruthless toy killer, Sid Phillips."
1,2,Jumanji,Adventure|Children|Fantasy,113497,8844.0,https://m.media-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg,Jumanji (1995),1995.0,Joe Johnston,TriStar Pictures,"https://m.media-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SY150_CR6,0,101,150_.jpg","After being trapped in a jungle board game for 26 years, a Man-Child wins his release from the game. But, no sooner has he arrived that he is forced to play again, and this time sets the creatures of the jungle loose on the city. Now it is up to him to stop them."
2,3,Grumpier Old Men (1995),Comedy|Romance,113228,15602.0,,,,,,,
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357.0,,,,,,,
4,5,Father of the Bride Part II (1995),Comedy,113041,11862.0,,,,,,,
5,6,Heat (1995),Action|Crime|Thriller,113277,949.0,,,,,,,
6,7,Sabrina (1995),Comedy|Romance,114319,11860.0,,,,,,,
7,8,Tom and Huck (1995),Adventure|Children,112302,45325.0,,,,,,,
8,9,Sudden Death (1995),Action,114576,9091.0,,,,,,,
9,10,GoldenEye (1995),Action|Adventure|Thriller,113189,710.0,,,,,,,
10,11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087.0,,,,,,,
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110.0,,,,,,,
12,13,Balto (1995),Adventure|Animation|Children,112453,21032.0,,,,,,,
13,14,Nixon (1995),Drama,113987,10858.0,,,,,,,
14,15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408.0,,,,,,,
15,16,Casino (1995),Crime|Drama,112641,524.0,,,,,,,
16,17,Sense and Sensibility (1995),Drama|Romance,114388,4584.0,,,,,,,
17,18,Four Rooms (1995),Comedy,113101,5.0,,,,,,,
18,19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273.0,,,,,,,
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517.0,,,,,,,
20,21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012.0,,,,,,,
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,,,,,,,
22,23,Assassins (1995),Action|Crime|Thriller,112401,9691.0,,,,,,,
23,24,Powder (1995),Drama|Sci-Fi,114168,12665.0,,,,,,,
24,25,Leaving Las Vegas (1995),Drama|Romance,113627,451.0,,,,,,,
25,26,Othello (1995),Drama,114057,16420.0,,,,,,,
26,27,Now and Then (1995),Children|Drama,114011,9263.0,,,,,,,
27,28,Persuasion (1995),Drama|Romance,114117,17015.0,,,,,,,
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902.0,,,,,,,
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557.0,,,,,,,
30,31,Dangerous Minds (1995),Drama,112792,9909.0,,,,,,,
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0,,,,,,,
32,34,Babe (1995),Children|Drama,112431,9598.0,,,,,,,
33,36,Dead Man Walking (1995),Crime|Drama,112818,687.0,,,,,,,
34,38,It Takes Two (1995),Children|Comedy,113442,33689.0,,,,,,,
35,39,Clueless (1995),Comedy|Romance,112697,9603.0,,,,,,,
36,40,"Cry, the Beloved Country (1995)",Drama,112749,34615.0,,,,,,,
37,41,Richard III (1995),Drama|War,114279,31174.0,,,,,,,
38,42,Dead Presidents (1995),Action|Crime|Drama,112819,11443.0,,,,,,,
39,43,Restoration (1995),Drama,114272,35196.0,,,,,,,
40,44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855,9312.0,,,,,,,
41,45,To Die For (1995),Comedy|Drama|Thriller,114681,577.0,,,,,,,
42,46,How to Make an American Quilt (1995),Drama|Romance,113347,11861.0,,,,,,,
43,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807.0,,,,,,,
44,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,10530.0,,,,,,,
45,49,When Night Is Falling (1995),Drama|Romance,114916,8391.0,,,,,,,
46,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629.0,,,,,,,
47,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448.0,,,,,,,
48,53,Lamerica (1994),Adventure|Drama,110299,49133.0,,,,,,,
49,54,"Big Green, The (1995)",Children|Comedy,112499,26441.0,,,,,,,
50,55,Georgia (1995),Drama,113158,97406.0,,,,,,,
51,57,Home for the Holidays (1995),Drama,113321,9089.0,,,,,,,
52,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877,11010.0,,,,,,,
53,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419,11359.0,,,,,,,
54,61,Eye for an Eye (1996),Drama|Thriller,116260,17182.0,,,,,,,
55,62,Mr. Holland's Opus (1995),Drama,113862,2054.0,,,,,,,
56,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126,10607.0,,,,,,,
57,64,Two if by Sea (1996),Comedy|Romance,118002,19760.0,,,,,,,
58,65,Bio-Dome (1996),Comedy,115683,9536.0,,,,,,,
59,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839,11525.0,,,,,,,
60,68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,4482.0,,,,,,,
61,69,Friday (1995),Comedy,113118,10634.0,,,,,,,
62,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755.0,,,,,,,
63,71,Fair Game (1995),Action,113010,11859.0,,,,,,,
64,72,Kicking and Screaming (1995),Comedy|Drama,113537,28387.0,,,,,,,
65,73,"Misérables, Les (1995)",Drama|War,113828,48750.0,,,,,,,
66,74,Bed of Roses (1996),Drama|Romance,115644,20927.0,,,,,,,
